,Tweets,Polarity,Analysis,Companies Name,Date,Open ,Close,Name,Price
sanjusamson,who the best batsman between them like sanju samson retweet rishabh pant sanjusamson,1,Positive,MRF,18-11-2022,87999,88092.70313,MRF.NS,93.70313
,sameerp14178298 this photo shocked when will bcci choose sanju samson over flop pant injustice sanjusamson rishabhpant,-1,Negative,Sanspareils Greenlands,21-11-2022,88300,89097.20313,MRF.NS,797.20313
,rishabhpant717 well gesture rishabhpant17 surya14kumar rishabhpant sky suryakumaryadav indvsnz sanjusamson,0,Neutral,BharatPe,22-11-2022,89005,88956.20313,MRF.NS,-48.79687
,zahidha68 who best batsman between them like sanju samson retweet rishabh pant sanjusamson rishabhpant pant,1,Positive,Club Mahindra,23-11-2022,89309.95313,88973.14844,MRF.NS,-336.80469
,rishabh has done this many times rishabhpant sanjusamson indvsnz,0.5,Positive,Gillette,18-11-2022,13.77999973,13.09000015,SG,-0.68999958
,abdulhakeemk6 ravishastri had the point but dirty politics the main villain nobody can help sanjusamson indvsnz,-0.216666667,Negative,,21-11-2022,12.93999958,12.64999962,SG,-0.28999996
,aadithyarajmc let the bcci too answer this question retweet folks sanjusamson bcci indvsnz,0,Neutral,,22-11-2022,12.72999954,12.47000027,SG,-0.25999927
,aadithyarajmc there enormous growth sanjusamson fanbase due injustice towards him from bcciindvsnz sanjusamson for bcci,-0.0625,Negative,,18-11-2022,306.75,304.1000061,BPCL.NS,-2.6499939
,sameerp14178298 hurts sanjusamson indvsnz rishabhpant bcci suryakumaryadav,0,Neutral,,21-11-2022,305.6499939,310.2999878,BPCL.NS,4.6499939
,fraud lunt waterboy sanjusamson rishabhpant indvsnz suryakumaryadav,0,Neutral,,22-11-2022,310.25,306.8500061,BPCL.NS,-3.3999939
,dhriti908 true deserves playing shame bcci indvsnz nzvsind sanjusamson,0.854492188,Positive,,23-11-2022,306.1000061,310.1499939,BPCL.NS,4.0499878
,cricketzn indvsnz sanjusamson sanju has another fan base,-0.8,Negative,,18-11-2022,269.25,273.1499939,MHRIL.NS,3.8999939
,rishabhpant717 which place good for rishabhpant17 rishabhpant sanjusamson indvsnz,0.7,Positive,,21-11-2022,274,272.5499878,MHRIL.NS,-1.4500122
,uniqueforlife ravi shastri wants that sanju samson should given consistent chances ravishastri sanjusamson india indian ipl,0.225,Positive,,22-11-2022,273.7000122,269.2999878,MHRIL.NS,-4.4000244
,sanju samson fans follow and will follow you back sanjusamson indvsnz,0,Neutral,,23-11-2022,269.8999939,268.8999939,MHRIL.NS,-1
,anuptdeoria true deserves playing shame bcci indvsnz sanjusamson,0.854492188,Positive,,18-11-2022,5083.950195,5076.649902,GILLETTE.NS,-7.300293
,susantk77795529 bcci where sanjusamson whats with indian teams fascination with rishabhpant the guy consistently refuses,0.25,Positive,,21-11-2022,5076.649902,5096.049805,GILLETTE.NS,19.399903
,cric666 who your choice rishabhpant sanjusamson indvsnz indvsnzseries,0,Neutral,,22-11-2022,5118,5074.850098,GILLETTE.NS,-43.149902
,quadirraheem who your choice like sanju samson rishabh pant rishabhpant sanjusamson indvsnzlive fifaworldcup fifa2,0,Neutral,,23-11-2022,5088,5075.299805,GILLETTE.NS,-12.700195
,let the bcci too answer this question retweet folks sanjusamson bcci indvsnz,0,Neutral,,,,,,
,aadithyarajmc best wicket keeper batsman india sanjusamson rishabhpant ishankishan klrahul indvsnz,1,Positive,,,,,,
,there enormous growth sanjusamson fanbase due injustice towards him from bcciindvsnz sanjusamson for,-0.0625,Negative,,,,,,
,yadhurj ravishastri making big statement sanjusamson sanjus intl debut during the period when ravi shastri the,0,Neutral,,,,,,
,edicric will umranmalik and sanjusamson get chance indvsnz t20cricket,0,Neutral,,,,,,
,ashish27y its known fact sanjusamson such fine touch though benched ample opportunities are needed for any player pro,0.208333333,Positive,,,,,,
,best wicket keeper batsman india sanjusamson rishabhpant ishankishan klrahul indvsnz,1,Positive,,,,,,
,sahupragati111 need him our team indvsnz sanjusamson suryakumaryadav,0,Neutral,,,,,,
,sohanacharya7 sanjusamson rishabhpant most unlucky player indvsnz bcci viratkohli,0.5,Positive,,,,,,
,its known fact sanjusamson such fine touch though benched ample opportunities are needed for any play,0.208333333,Positive,,,,,,
,true deserves playing shame bcci indvsnz sanjusamson,0.854492188,Positive,,,,,,
,roj utho khao pio aur fir trial match hag jao rishabhpant sanjusamson indvsnz,0,Neutral,,,,,,
,indiasuperfans sanju samson has quite lot following hopefully will get game the series nzvind sanjusamson,-0.2,Negative,,,,,,
,circleofcricket sanjusamson fans attendance but hes not the teamindia for the second t20i nzvind,0,Neutral,,,,,,
,cricketlover015 its not sanju samson lost its indias lost gem but bcci cant afford this gem sanjusamson nzvind,0,Neutral,,,,,,
,sanjusamsonfp sanju samson fans from new zealand the next level craze for this man sanjusamson sanjusamsonfp rajasth,0.068181818,Positive,,,,,,
,topedgecricket sanju samson again doesnt find place the indian t20i nzvind nzvindonprime sanjusamson,0,Neutral,,,,,,
,arvi489 sanjusamson justiceforsanjusamson rishabhpant bcci give matches for pant just for trails bcci give pant another,0,Neutral,,,,,,
,delvindavis64 those poor form continue opportunities are rare for those brilliant form sanjusamson rishabhpant,0.266666667,Positive,,,,,,
,rahulnaikm2 gotta feel for this manh true cricket fan shame for these acts from bcci sanju indvsnzlive sanjusamson,0.35,Positive,,,,,,
,kottayamkiran who best sanjusamson ishankishan klrahul rishabhpant,1,Positive,,,,,,
,pradumy15899 who best batsman between them like sanju samson retweet rishabh pant suryakumaryadav sanjusamson,1,Positive,,,,,,
,harshgupta1 who should the wicketkeeper for team india for rishabh pant for sanju samson sanjusamson nzvsind rishabhpan,0,Neutral,,,,,,
,who best sanjusamson ishankishan klrahul rishabhpant,1,Positive,,,,,,
,raj24priya who your favorite wicket keeper batsman like sanju samson retweet rishabh pant sanjusamson rishabhpant http,0.5,Positive,,,,,,
,aftutwts gotta feel for this manh true cricket fan shame for these acts from bcci sanju indvsnzlive sanjusamson,0.35,Positive,,,,,,
,camarjith should sanju samson replace rishabh pant sanjusamson rishabhpant bcci,0,Neutral,,,,,,
,cricketbroken last t20i innings indias new era sanjusamsonbenched rishabhpan,0.068181818,Positive,,,,,,
,should sanju samson replace rishabh pant sanjusamson rishabhpant bcci,0,Neutral,,,,,,
,should india include sanju samson the instead rishabh pant sanjusamson rishabhpant nzvind nzvsind,0,Neutral,,,,,,
,dhriti908 shame bcci suryakumaryadav rishabhpant nzvsind indvsnz sanjusamson sanju,0,Neutral,,,,,,
,ashwinuthup ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,well gesture rishabhpant17 surya14kumar rishabhpant sky suryakumaryadav indvsnz sanjusamson,0,Neutral,,,,,,
,indersinghbha18 ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,rpshah00018 bcci iamsanjusamson ipl year with average sanjusamson years rishabhpant yea,-0.15,Negative,,,,,,
,yaarisports ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,anandpa27905839 who best batsman between them like sanju samson retweet rishabh pant sanjusamson rishabhpant,1,Positive,,,,,,
,kumarvaisu profdilipmandal ipl year with average sanjusamson years rishabhpant years,-0.15,Negative,,,,,,
,iamrksap rishabhpant17 ipl year with average sanjusamson years rishabhpant years ipl,-0.15,Negative,,,,,,
,can anyone guess who this superstar indvsnz sanjusamson msdhoni suryakumaryadav iccrankings,0,Neutral,,,,,,
